run_number,move_accuracy,step_accuracy,move_f1,step_f1,move_precision,move_recall,step_precision,step_recall,total_sentences,total_articles
1,0.846441947565543,0.5692883895131086,0.8415110202020285,0.5510348891049485,0.8482136990416116,0.846441947565543,0.5566285082560494,0.5692883895131086,267,10
2,0.8089887640449438,0.550561797752809,0.8093067986921534,0.5298928782479833,0.8134325686427898,0.8089887640449438,0.5496626634830236,0.550561797752809,267,10
3,0.8539325842696629,0.5617977528089888,0.8492106671172313,0.5365063209465865,0.8503159974141963,0.8539325842696629,0.5441439038023029,0.5617977528089888,267,10
4,0.846441947565543,0.5805243445692884,0.8377645008195456,0.5548505546338108,0.8433418630773762,0.846441947565543,0.578901678364171,0.5805243445692884,267,10
5,0.8651685393258427,0.6217228464419475,0.8589823485002583,0.5966666580034683,0.8585562337027897,0.8651685393258427,0.6112619336387773,0.6217228464419475,267,10
6,0.8614232209737828,0.5955056179775281,0.8603464149640039,0.5768001752654535,0.8627251133768422,0.8614232209737828,0.5790094200431278,0.5955056179775281,267,10
7,0.8352059925093633,0.5543071161048689,0.8335469097818733,0.5337443665392789,0.8359215992416428,0.8352059925093633,0.5453808383408103,0.5543071161048689,267,10
8,0.7752808988764045,0.5468164794007491,0.7765652246432849,0.5399853990155761,0.7872065659071033,0.7752808988764045,0.5897663272453545,0.5468164794007491,267,10
9,0.8314606741573034,0.5767790262172284,0.8217420506522948,0.5533185021922592,0.8264578339907551,0.8314606741573034,0.5785925061205961,0.5767790262172284,267,10
10,0.8239700374531835,0.6104868913857678,0.820863634419806,0.5900657345496559,0.829740880194844,0.8239700374531835,0.6053854772898202,0.6104868913857678,267,10
11,0.8539325842696629,0.6104868913857678,0.8536000721750838,0.5889159151326507,0.855483975791887,0.8539325842696629,0.6106523032975536,0.6104868913857678,267,10
12,0.8014981273408239,0.550561797752809,0.8020988044369222,0.5378830942020788,0.8053442228668539,0.8014981273408239,0.5475338922662122,0.550561797752809,267,10
13,0.8576779026217228,0.5917602996254682,0.8560511483457511,0.5643960207145314,0.8607682009330442,0.8576779026217228,0.5985126816587489,0.5917602996254682,267,10
14,0.8426966292134831,0.602996254681648,0.8425641893956397,0.5938500179131586,0.8441054765874783,0.8426966292134831,0.6022539079257447,0.602996254681648,267,10
15,0.850187265917603,0.602996254681648,0.84671228313287,0.5731242048225669,0.8475096918325777,0.850187265917603,0.6242839653372028,0.602996254681648,267,10
16,0.846441947565543,0.5655430711610487,0.8441787415045289,0.5392837010047989,0.8465121898452141,0.846441947565543,0.5411796458509253,0.5655430711610487,267,10
17,0.8314606741573034,0.5880149812734082,0.8237346004180665,0.5715058192283916,0.8254529108392847,0.8314606741573034,0.5897935479274024,0.5880149812734082,267,10
18,0.8764044943820225,0.5917602996254682,0.8734682235755332,0.5708066863363814,0.8742507524935011,0.8764044943820225,0.5697334282838369,0.5917602996254682,267,10
19,0.8202247191011236,0.5842696629213483,0.8209493879776716,0.5721901858670553,0.8229844273605362,0.8202247191011236,0.5911244858937664,0.5842696629213483,267,10
20,0.8277153558052435,0.5805243445692884,0.8268467939205469,0.5632737052095221,0.8337717008250619,0.8277153558052435,0.576500281292292,0.5805243445692884,267,10
21,0.850187265917603,0.5917602996254682,0.8479777177126355,0.5791443037490093,0.8503663837307641,0.850187265917603,0.5762200610581312,0.5917602996254682,267,10
22,0.7865168539325843,0.5580524344569289,0.790704323108702,0.5540746058840474,0.8120532254702777,0.7865168539325843,0.579426644031653,0.5580524344569289,267,10
23,0.8389513108614233,0.5955056179775281,0.8328226286672085,0.5693271163398088,0.8360078217145694,0.8389513108614233,0.5772259476508024,0.5955056179775281,267,10
24,0.850187265917603,0.599250936329588,0.8463050149226893,0.5785200808639276,0.8494609690031257,0.850187265917603,0.5968093232945066,0.599250936329588,267,10
25,0.8426966292134831,0.5655430711610487,0.8425073549994532,0.5399326994162124,0.8444930311542184,0.8426966292134831,0.5460768894507282,0.5655430711610487,267,10
